epoch,timestamp,operations,operations-delta,operations/second
1591172206.23,03/06/2020 08:16:46,401351,401351,400950.05
1591172207.23,03/06/2020 08:16:47,855707,454356,454356
1591172208.23,03/06/2020 08:16:48,1302462,446755,446755
1591172209.23,03/06/2020 08:16:49,1755472,453010,453010
1591172210.23,03/06/2020 08:16:50,2207574,452102,452102
1591172211.23,03/06/2020 08:16:51,2649378,441804,441804
1591172212.23,03/06/2020 08:16:52,3092933,443555,443555
1591172213.23,03/06/2020 08:16:53,3530584,437651,437651
1591172214.23,03/06/2020 08:16:54,3984461,453877,453877
1591172215.23,03/06/2020 08:16:55,4428854,444393,444393
1591172216.23,03/06/2020 08:16:56,4881518,452664,452664
1591172217.23,03/06/2020 08:16:57,5328073,446555,446555
1591172218.23,03/06/2020 08:16:58,5770175,442102,442102
1591172219.23,03/06/2020 08:16:59,6188905,418730,418730
1591172220.23,03/06/2020 08:17:00,6632635,443730,443730
1591172221.231,03/06/2020 08:17:01,7081097,448462,448013.986
1591172222.231,03/06/2020 08:17:02,7529267,448170,448170
1591172223.231,03/06/2020 08:17:03,7978304,449037,449037
1591172224.231,03/06/2020 08:17:04,8430373,452069,452069
1591172225.231,03/06/2020 08:17:05,8864497,434124,434124
1591172226.231,03/06/2020 08:17:06,9316128,451631,451631
1591172227.231,03/06/2020 08:17:07,9762434,446306,446306
1591172228.231,03/06/2020 08:17:08,10213670,451236,451236
1591172229.231,03/06/2020 08:17:09,10665505,451835,451835
1591172230.231,03/06/2020 08:17:10,11120583,455078,455078
1591172231.231,03/06/2020 08:17:11,11577317,456734,456734
1591172232.231,03/06/2020 08:17:12,12032514,455197,455197
1591172233.231,03/06/2020 08:17:13,12474280,441766,441766
1591172234.231,03/06/2020 08:17:14,12922648,448368,448368
1591172235.231,03/06/2020 08:17:15,13369009,446361,446361
1591172236.232,03/06/2020 08:17:16,13814965,445956,445510.49
1591172237.232,03/06/2020 08:17:17,14262903,447938,447938
1591172238.232,03/06/2020 08:17:18,14712788,449885,449885
1591172239.232,03/06/2020 08:17:19,15160782,447994,447994
1591172240.232,03/06/2020 08:17:20,15618224,457442,457442
1591172241.232,03/06/2020 08:17:21,16074163,455939,455939
1591172242.232,03/06/2020 08:17:22,16514319,440156,440156
1591172243.232,03/06/2020 08:17:23,16957040,442721,442721
1591172244.232,03/06/2020 08:17:24,17413586,456546,456546
1591172245.232,03/06/2020 08:17:25,17866659,453073,453073
1591172246.232,03/06/2020 08:17:26,18318701,452042,452042
1591172247.232,03/06/2020 08:17:27,18761783,443082,443082
1591172248.232,03/06/2020 08:17:28,19214627,452844,452844
1591172249.232,03/06/2020 08:17:29,19664570,449943,449943
1591172250.232,03/06/2020 08:17:30,20122980,458410,458410
1591172251.233,03/06/2020 08:17:31,20575193,452213,451761.239
1591172252.233,03/06/2020 08:17:32,21029107,453914,453914
1591172253.233,03/06/2020 08:17:33,21483750,454643,454643
1591172254.233,03/06/2020 08:17:34,21939095,455345,455345
1591172255.233,03/06/2020 08:17:35,22387625,448530,448530
1591172256.233,03/06/2020 08:17:36,22820171,432546,432546
1591172257.233,03/06/2020 08:17:37,23272821,452650,452650
1591172258.233,03/06/2020 08:17:38,23723762,450941,450941
1591172259.233,03/06/2020 08:17:39,24173325,449563,449563
1591172260.233,03/06/2020 08:17:40,24632063,458738,458738
1591172261.233,03/06/2020 08:17:41,25086136,454073,454073
1591172262.233,03/06/2020 08:17:42,25531144,445008,445008
1591172263.233,03/06/2020 08:17:43,25982416,451272,451272
1591172264.233,03/06/2020 08:17:44,26433970,451554,451554
1591172265.234,03/06/2020 08:17:45,26880636,446666,446219.78
